"postnummer","week","barn: 0","barn: 1","barn: 2","barn: 3","Inkomstkälla: Förvärvsarbete","Inkomstkälla: Studerande","Inkomstkälla: Vård av barn/anhörig","Inkomstkälla: Sjuk","Inkomstkälla: Arbetslös","Inkomstkälla: Förtidspension","Inkomstkälla: Ekonomiskt bistånd","Inkomstkälla: Arbetsmarknadspol åtgärd","Inkomstkälla: Ålderspensionär","Inkomstkälla: Saknar inkomst","Medelålder","Befolkning 0-17 år","Befolkning 18+ år","Befolkning Totalt","Befolkning 0-17 år %","Befolkning 18+ år %","Inkomst Kvartil 1","Inkomst Kvartil 2","Inkomst Kvartil 3","Inkomst Kvartil 4","Inkomst: Median","Genomsnittlig boarea per person"
"74231","26","0.9349845201","0.04179566563","0.01857585139","0.004643962848","0.7927107062","0.02961275626","0.006833712984","0.03416856492","0.006833712984","0.08428246014","0.006833712984","0","0.02277904328","0.0159453303","56.5","60","897","957","0.06269592476","0.9373040752","0.2595596756","0.3325608343","0.1946697567","0.2132097335","206226","49.6"
"74232","26","0.7303754266","0.08873720137","0.1194539249","0.0614334471","0.9005847953","0.01461988304","0.01461988304","0.008771929825","0","0.04970760234","0","0","0","0.01169590643","44.2","152","540","692","0.2196531792","0.7803468208","0.1673076923","0.2403846154","0.2057692308","0.3865384615","279376","51.2"
"74233","26","0.7661691542","0.08955223881","0.1243781095","0.01990049751","0.8721461187","0.01369863014","0.01369863014","0.01369863014","0","0.03196347032","0","0.01369863014","0.01369863014","0.02739726027","46.4","80","358","438","0.1826484018","0.8173515982","0.1852941176","0.3058823529","0.2588235294","0.25","242623","46.3"
"74234","26","0.7900172117","0.09122203098","0.08089500861","0.03786574871","0.7341549296","0.0264084507","0.02992957746","0.0264084507","0.007042253521","0.09154929577","0.04929577465","0.01056338028","0","0.02464788732","41.6","221","821","1042","0.2120921305","0.7879078695","0.3167938931","0.3091603053","0.2175572519","0.1564885496","199703","40.9"
"74235","26","0.656462585","0.1224489796","0.156462585","0.06462585034","0.8763736264","0.02472527473","0.01648351648","0.01648351648","0.008241758242","0","0","0.01648351648","0.01648351648","0.02472527473","42.4","190","589","779","0.243902439","0.756097561","0.2071428571","0.2464285714","0.2321428571","0.3142857143","254298","47.2"
"74236","26","0.7168141593","0.1002949853","0.1386430678","0.04424778761","0.8858447489","0.01598173516","0.01369863014","0.006849315068","0","0.02511415525","0","0","0.03196347032","0.02054794521","44.2","178","639","817","0.217870257","0.782129743","0.1844197138","0.2305246423","0.2575516693","0.3275039746","273826","49.5"
"74241","26","0.7647058824","0.08823529412","0.1013071895","0.04575163399","0.8526645768","0.009404388715","0.02507836991","0.01880877743","0.009404388715","0.03134796238","0.009404388715","0","0.01880877743","0.02507836991","45.2","135","503","638","0.2115987461","0.7884012539","0.2101010101","0.296969697","0.2424242424","0.2505050505","237189","47.4"
"74242","26","0.9585492228","0.01813471503","0.01554404145","0.007772020725","0.7814814815","0.01111111111","0","0.02592592593","0","0.05185185185","0.01111111111","0.02222222222","0.03703703704","0.05925925926","59.8","28","565","593","0.04721753794","0.9527824621","0.2896174863","0.3114754098","0.1766848816","0.2222222222","203669","54.1"
"74243","26","0.7083333333","0.078125","0.15625","0.05729166667","0.8461538462","0.01282051282","0.03418803419","0.01282051282","0","0.02564102564","0","0","0.03846153846","0.02991452991","43.6","111","349","460","0.2413043478","0.7586956522","0.1701492537","0.2447761194","0.2537313433","0.3313432836","270941","50.9"
"74250","26","0.8622754491","0.05389221557","0.05389221557","0.02994011976","0.7368421053","0","0.02255639098","0.03759398496","0","0.1278195489","0.03007518797","0","0.02255639098","0.02255639098","53.1","45","265","310","0.1451612903","0.8548387097","0.3396946565","0.3053435115","0.1832061069","0.1717557252","184426","49.7"
"74291","26","0.7892976589","0.08026755853","0.08026755853","0.05016722408","0.9030100334","0","0.01003344482","0","0","0.01337792642","0","0.01003344482","0.02341137124","0.04013377926","48","123","536","659","0.186646434","0.813353566","0.2462406015","0.2218045113","0.2556390977","0.2763157895","250759","52.4"
"74292","26","0.8227146814","0.08033240997","0.07479224377","0.02216066482","0.8823529412","0.007058823529","0.01647058824","0.01647058824","0","0.03294117647","0","0","0.01882352941","0.02588235294","47.8","109","666","775","0.1406451613","0.8593548387","0.220657277","0.2644757433","0.2676056338","0.2472613459","247312","52.4"
"74293","26","0.7971014493","0.08985507246","0.07536231884","0.03768115942","0.8158567775","0.02046035806","0.01534526854","0.02813299233","0.007672634271","0.04092071611","0","0.007672634271","0.03069053708","0.03324808184","48.2","130","620","750","0.1733333333","0.8266666667","0.2805872757","0.2398042414","0.2626427406","0.2169657423","228909","51.6"
"74294","26","0.8679245283","0.06132075472","0.04245283019","0.02830188679","0.8319327731","0.01260504202","0.01260504202","0.01260504202","0","0.05882352941","0","0.01260504202","0.03361344538","0.02521008403","49.6","51","360","411","0.1240875912","0.8759124088","0.2564841499","0.2766570605","0.2219020173","0.2449567723","228125","58.8"
"74295","26","0.8692810458","0.05882352941","0.0522875817","0.01960784314","0.7971014493","0","0","0.04347826087","0.02173913043","0.05797101449","0","0","0","0.07971014493","50.4","32","246","278","0.1151079137","0.8848920863","0.3070539419","0.2780082988","0.244813278","0.1701244813","206962","52.8"
"74296","26","0.8904109589","0.04109589041","0.06849315068","0","0.8548387097","0.04838709677","0","0.04838709677","0","0","0","0","0","0.04838709677","54.7","15","124","139","0.1079136691","0.8920863309","0.3008130081","0.2113821138","0.2764227642","0.2113821138","237400","52.8"
