id,time,var,percentage
3,2017w8,0.689085286,100
3,2017w9,0.437439589,100
3,2017w10,0.154268559,100
3,2017w11,0.454859222,100
3,2017w12,0.415663914,100
3,2017w13,0.114807254,100
3,2017w14,0.360378824,100
3,2017w16,0.300730965,100
3,2017w17,0.460407466,100
3,2017w18,0.338400299,100
3,2017w19,0.263818987,100
3,2017w20,0.570848737,100
3,2017w21,-10,0
3,2017w22,-10,0
3,2017w23,-10,0
3,2017w24,-10,0
3,2017w25,-10,0
3,2017w26,-10,0
3,2017w27,-10,0
3,2017w28,-10,0
3,2017w29,-10,0
3,2017w30,-10,0
3,2017w31,-10,0
3,2017w32,-10,0
3,2017w33,0.030049478,100
3,2017w34,0.967285443,100
3,2017w35,0.279407586,100
3,2017w36,1.027962763,100
3,2017w37,0.912385635,100
3,2017w38,0.222039813,100
3,2017w39,0.497270485,100
3,2017w40,0.750877198,100
3,2017w41,0.845077869,100
3,2017w42,0.669911593,100
3,2017w43,1.088424959,100
3,2017w44,0.339815843,100
3,2017w45,0.476538789,100
3,2017w46,0.893854986,100
3,2017w47,0.975177814,100
3,2017w48,0.639681696,100
3,2017w49,1.268460326,100
3,2017w50,1.627620559,100
3,2017w51,0.700479247,100
3,2017w52,1.176758233,100
3,2018w1,0.483098176,100
3,2018w2,0.169910182,100
3,2018w3,0.963261111,100
3,2018w4,1.045547087,100
3,2018w5,1.421153054,100
3,2018w6,3.665258642,100
3,2018w7,2.800440381,100
3,2018w8,0.058755916,100
3,2018w9,0.033113132,100
3,2018w10,0.654812784,100
3,2018w11,0.22057656,100
3,2018w12,2.452577435,100
3,2018w13,0.335109365,100
3,2018w14,0.531705442,100
3,2018w15,0.199955626,100
4,2015w16,0.285766195,100
4,2015w17,0.698734458,100
4,2015w18,2.203051201,99.92720053
4,2015w19,1.429735613,99.97682656
4,2015w20,1.085482853,100
4,2015w21,0.832295363,99.95368686
4,2015w22,2.976607108,99.91566066
4,2015w23,0.221132545,100
4,2015w24,2.478646618,100
4,2015w25,1.156016277,99.91566763
4,2015w26,0.537274987,99.97519718
4,2015w27,1.222977576,99.95204789
4,2015w28,0.33252025,100
4,2015w29,1.024001256,99.97850174
4,2015w30,3.119434827,99.75857792
4,2015w31,1.128406774,99.88260388
4,2015w32,0.380583465,100
4,2015w33,0.739530218,99.85777837
4,2015w34,5.315892858,99.47897714
4,2015w35,1.885101346,99.99007017
4,2015w36,1.525762253,99.82625387
4,2015w37,2.762141581,99.85939723
4,2015w38,2.212930222,99.97352922
4,2015w39,0.231222684,100
4,2015w40,0.578146378,100
4,2015w41,0.124963819,100
4,2015w42,1.000970428,99.99669208
4,2015w43,0.894924881,100
4,2015w44,0.38437275,100
4,2015w45,2.712000068,99.9636105
4,2015w46,1.426478172,100
4,2015w47,0.919380734,100
4,2015w48,8.496550348,98.83742083
4,2015w49,1.97333828,99.97519554
4,2015w50,0.976224792,99.99503878
4,2015w51,1.705242952,99.99834634
4,2015w52,0.659516089,100
4,2015w53,0.131678175,100
4,2016w1,1.201452646,100
4,2016w2,2.168487839,100
4,2016w3,2.20113545,99.99834423
4,2016w4,3.540887164,99.52657629
4,2016w5,0.901216324,100
4,2016w6,0.093779092,100
